component	version	kind	license	official_source	evidence_path	evidence_sha256	use	distributed_in_restore_source_archive	handling
jQuery	3.7.1	nested JS/CSS/icons	MIT	https://jquery.org/license/	.library/shiny/www/shared/jquery.js	78a85aca2f0b110c29e0d2b137e09f0a1fb7a8e554b499f740d6744dc8962cfe	Served locally by upstream R package	no	Not vendored in project. Restore whole upstream package; nested libraries and license notices stay upstream.
Selectize	0.15.2	nested JS/CSS/icons	Apache-2.0	https://selectize.dev/	.library/shiny/www/shared/selectize/js/selectize.js	f2071a81a2cd79bb366b29e849f81419d381f0347f2a5ce69a6e82e0c42d82ec	Served locally by upstream R package	no	Not vendored in project. Restore whole upstream package; nested libraries and license notices stay upstream.
Bootstrap	3.4.1	nested JS/CSS/icons	MIT	https://getbootstrap.com/docs/3.4/	.library/shiny/www/shared/bootstrap/js/bootstrap.js	dbd2a35e72edc7d6bde483481a912f1c38aa57fab2747d9b071d317339ee03a2	Served locally by upstream R package	no	Not vendored in project. Restore whole upstream package; nested libraries and license notices stay upstream.
plotly.js	2.25.2	nested JS/CSS/icons	MIT plus bundled notices	https://github.com/plotly/plotly.js	.library/plotly/htmlwidgets/lib/plotlyjs/plotly-latest.min.js	419deebe105f4c993feb7e6d1fe94fb1c2f7f98716db5d9b8fe3e37773838898	Served locally by upstream R package	no	Not vendored in project. Restore whole upstream package; nested libraries and license notices stay upstream.
DataTables	1.13.6	nested JS/CSS/icons	MIT	https://datatables.net/license/	.library/DT/htmlwidgets/lib/datatables/license.txt	c6a873f21550ed804f76013c36e14225704c1aa551fdb870e0c626eb91c19247	Served locally by upstream R package	no	Not vendored in project. Restore whole upstream package; nested libraries and license notices stay upstream.
Font Awesome Free	6.5.2	nested JS/CSS/icons	Icons CC-BY-4.0; fonts OFL-1.1; code MIT	https://fontawesome.com/license/free	.library/fontawesome/fontawesome/css/all.css	f6213f7f69b2f7627cba1819c639a5506c537bea2c964bdc129295a5361e21af	Served locally by upstream R package	no	Not vendored in project. Restore whole upstream package; nested libraries and license notices stay upstream.
System fonts	machine-dependent	fonts	Per installed operating-system/font license	https://learn.microsoft.com/en-us/typography/fonts/font-faq	R/product_export.R	d53093b5870ad4c16b8b052d53987e9c06b2b4122b3278a2027c11f7d1c3e8d1	Font names referenced only	no	No TTF/OTF/WOFF files distributed; fallback appearance tested separately.
ECIbootstrap	0.1.0	vendored research comparator	MIT	https://github.com/Hecate08/ECIbootstrap	vendor/ECIbootstrap/LICENSE	9f2fb3c57270292267ead8649a27d8253a0f72f1524123887fbd65e24278946f	Historical comparison only; excluded from runtime and source-identification materials	no	Original MIT copyright Hecate08 2022 retained in internal vendor; exclude vendor from candidate software archive.
Python	3.12.10	engineering/document tool	PSF-2.0	https://docs.python.org/3/license.html	config/paper_python_environment.json	cf25bdeda81039b9a6c46cb17e0298691f13734907cb48514dadb6013b1bf00b	Development verification or material building only	no	Not needed for ordinary R UI use; not bundled. Exact invoked tool/version belongs to rendering logs; unavailable versions are not asserted.
Poppler	bundled runtime; not a software runtime requirement	engineering/document tool	GPL-2.0-or-later	https://poppler.freedesktop.org/	config/paper_python_environment.json	cf25bdeda81039b9a6c46cb17e0298691f13734907cb48514dadb6013b1bf00b	Development verification or material building only	no	Not needed for ordinary R UI use; not bundled. Exact invoked tool/version belongs to rendering logs; unavailable versions are not asserted.
Pandoc	version recorded by paper pipeline	engineering/document tool	GPL-2.0-or-later	https://pandoc.org/	config/paper_python_environment.json	cf25bdeda81039b9a6c46cb17e0298691f13734907cb48514dadb6013b1bf00b	Development verification or material building only	no	Not needed for ordinary R UI use; not bundled. Exact invoked tool/version belongs to rendering logs; unavailable versions are not asserted.
LibreOffice	renderer-controlled	engineering/document tool	MPL-2.0 and LGPL-3.0-or-later	https://www.libreoffice.org/about-us/licenses	config/paper_python_environment.json	cf25bdeda81039b9a6c46cb17e0298691f13734907cb48514dadb6013b1bf00b	Development verification or material building only	no	Not needed for ordinary R UI use; not bundled. Exact invoked tool/version belongs to rendering logs; unavailable versions are not asserted.
